Boxer,Date,Venue,Purse,lnRPurse,weight,Age,Wins,Losses,KO,W-Title,PPV,ESPN,HBO,FOX,TopRank,GoldenBoy,RDS,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Hogue, Jazzma",2012.08.04,Texas Station,1200,7.15738928379639,121.5,26.25,2,1,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0
"Williams, Tramaine D.",2012.08.04,Texas Station,2000,7.66821490756238,123,19.75,2,0,2,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0
"Morales, Jose",2012.08.04,Texas Station,2000,7.66821490756238,127.5,31.0833333333335,6,3,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0
"Rodriguez, Saul",2012.08.04,Texas Station,2500,7.89135845887659,127,19.3333333333335,5,0,4,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0
"Turner, Thomas S.",2012.08.04,Texas Station,1500,7.3805328351106,168,24.9166666666667,2,2,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0
"Maicelo, Jonathan",2012.08.10,Morongo Casino,3000,8.07368001567054,136.5,29,17,0,10,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Avalos, Christopher",2012.08.10,Morongo Casino,15000,9.68311792810464,120,22.75,19,2,15,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,0
"Ishe, Cleven",2012.08.10,Morongo Casino,2500,7.89135845887659,152.75,24.5833333333335,3,7,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Perez, Darleys",2012.08.10,Morongo Casino,3000,8.07368001567054,135,28.9166666666667,25,0,19,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,0
"Mamadjonov, Bahodir",2012.08.10,Morongo Casino,2000,7.66821490756238,133.5,25.1666666666667,11,0,7,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,0
"Luna, Alejandro",2012.08.10,Morongo Casino,3500,8.2278306954978,134,20.8333333333335,9,0,7,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Barefield, Omar",2012.08.16,OC Fairgrounds,1000,6.97506772700243,156,38.5,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Rein, Brady",2012.08.16,OC Fairgrounds,1200,7.15738928379639,166,26.3333333333335,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Ochoa, Alejandro",2012.08.16,OC Fairgrounds,1500,7.3805328351106,133.75,23.5833333333335,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Bello, Luis",2012.08.16,OC Fairgrounds,1000,6.97506772700243,134,18.8333333333335,2,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Namauu, Henry CJ",2012.08.16,OC Fairgrounds,5000,8.58450563943653,218,27.9166666666667,10,4,5,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Flores, Alexander",2012.08.16,OC Fairgrounds,3000,8.07368001567054,225,22,9,0,7,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Malfavon, Ricardo A.",2012.08.16,OC Fairgrounds,2500,7.89135845887659,143.5,30.1666666666667,2,9,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Tadeo, Isaac",2012.08.16,OC Fairgrounds,1200,7.15738928379639,150,22.1666666666667,2,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Haro, Peter J.",2012.08.18,Westin Hotel,1000,6.97506772700243,145,25.5833333333335,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Santana, Oscar",2012.08.18,Westin Hotel,795,6.74565456267463,130,21.5,2,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Rivera, Osman",2012.08.18,Westin Hotel,1000,6.97506772700243,131,24.5833333333335,1,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Rose, Louis",2012.08.18,Westin Hotel,1000,6.97506772700243,158,23.5,3,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Seymour, Elliott",2012.08.18,Westin Hotel,1000,6.97506772700243,157.5,27.1666666666667,1,4,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Johnson, David",2012.08.24,Fairgrounds,1100,7.07037790680676,213.25,33.5,5,22,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Alexander, Scott",2012.08.24,Fairgrounds,1000,6.97506772700243,229.5,23.3333333333335,6,0,4,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Morales, Roman",2012.08.24,Fairgrounds,3000,8.07368001567054,121.5,21,11,0,6,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Alcantara, Jonathan G.",2012.08.24,Fairgrounds,3300,8.16899019547487,120.75,24.4166666666667,6,7,1,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Williams, Derek",2012.08.24,Fairgrounds,800,6.75192417568822,247.5,32,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Lopez, Julian",2012.08.24,Fairgrounds,1000,6.97506772700243,127.5,22.25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Yanez, David H.",2012.08.24,Fairgrounds,800,6.75192417568822,129.5,22.5,1,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Aguiar, Yair",2012.08.24,Omega Arena,2500,7.89135845887659,147,35,10,16,4,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Duenas, Ricky",2012.08.24,Omega Arena,4000,8.36136208812233,146,29.5833333333335,11,1,5,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Reyes, Artemio",2012.08.24,Omega Arena,5000,8.58450563943653,147,25.9166666666667,16,2,12,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Rodriguez, Fernando",2012.08.24,Omega Arena,1500,7.3805328351106,152,23.25,6,11,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Reyes, Juan R.",2012.08.24,Omega Arena,2500,7.89135845887659,121,23,6,1,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Ruiz, Juan",2012.08.24,Omega Arena,5000,8.58450563943653,121,33.722602739726,23,10,7,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Prescott, Daulis",2012.08.24,Omega Arena,4000,8.36136208812233,119,25.9166666666667,25,1,19,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Sandoval, Juan J.",2012.08.24,Omega Arena,2000,7.66821490756238,122,25.5833333333335,5,9,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Roman, Daniel",2012.08.24,Omega Arena,1250,7.19821127831664,122,22.25,3,1,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Dupree, Carey",2012.08.25,Churchill Fairgrounds,1200,7.15738928379639,172,33.9166666666667,1,2,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Vasquez, Santos",2012.08.25,Churchill Fairgrounds,800,6.75192417568822,108,21.5833333333335,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Vasquez, Oscar R.",2012.08.25,Churchill Fairgrounds,900,6.86970721134461,107,25.0833333333335,2,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Reyes, Edwin",2012.08.25,Churchill Fairgrounds,1500,7.3805328351106,106,25,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Avila, Manuel",2012.08.25,Sports Center,4000,8.36136208812233,122,20.3333333333335,8,0,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Chicas, Jonathan",2012.08.25,Sports Center,1000,6.97506772700243,139.5,23.75,5,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Lopez, Jose JM",2012.08.25,Sports Center,1000,6.97506772700243,139,24.1666666666667,7,5,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Boyea, Payton",2012.08.25,Sports Center,1000,6.97506772700243,188.25,24.8333333333335,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Mendez, Paul",2012.08.25,Sports Center,2000,7.66821490756238,163.5,23.5,8,2,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Myers, Loren E.",2012.08.25,Sports Center,2000,7.66821490756238,163.5,31.25,8,16,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Leyva, Manuel",2012.08.25,Sports Center,3500,8.2278306954978,147,29.9166666666667,21,7,12,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0
"Sanchez, Alan L.",2012.08.25,Sports Center,7000,8.92097787605775,146,21.5,10,2,4,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0
"Garcia, Jonathan",2012.08.30,4 Points Sheraton,1500,7.3805328351106,139,21.0833333333335,8,0,6,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Hurtado, Jose Jesus",2012.08.30,4 Points Sheraton,1000,6.97506772700243,177,29.3333333333335,3,5,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Godoy, Oscar",2012.08.30,4 Points Sheraton,1000,6.97506772700243,147,22.1666666666667,7,2,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Rivera, Eduardo",2012.08.30,4 Points Sheraton,1000,6.97506772700243,132,23,7,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Landeros, Adolfo",2012.08.30,4 Points Sheraton,2000,7.66821490756238,133,32.7335616438356,22,25,10,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Robles, Emmanuel",2012.08.30,4 Points Sheraton,1000,6.97506772700243,147,24.4166666666667,4,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Rojas, Jesus M.",2012.08.30,4 Points Sheraton,1000,6.97506772700243,107.5,25.6787671232844,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Matthysse, Lucas",2012.09.08,Hard Rock,175000,12.139853700926,139,30,31,2,29,1,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0
"Arnett, Daquan",2012.09.08,Hard Rock,2500,7.89135845887659,153,19.8333333333333,6,0,4,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0
"Tavera, Jesus",2012.09.08,Hard Rock,3500,8.2278306954978,153,25.6666666666667,4,2,1,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0
"Smith, Ishe O.",2012.09.08,Hard Rock,13000,9.54001708446397,154,34.1666666666667,23,5,11,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0
"Garcia, Irving",2012.09.08,Hard Rock,9000,9.17229230433865,154,33.6666666666667,17,7,8,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0
"Love, J'Leon",2012.09.08,Hard Rock,13000,9.54001708446397,161,25,12,0,7,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0
"Acevedo, Aaron A.",2012.09.08,Pechanga Casino,1000,6.97506772700243,129.5,23.9166666666667,2,0,2,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0
"Sandoval, Juan J.",2012.09.08,Pechanga Casino,2000,7.66821490756238,128.5,25.6666666666667,5,10,3,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0
"Cojanu, Razvan",2012.09.08,Pechanga Casino,2000,7.66821490756238,276.5,25.5,4,1,1,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0
"Banks, Yohan A.",2012.09.08,Pechanga Casino,2000,7.66821490756238,293,37.3333333333333,5,6,3,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0
"Diaz, Francisco",2012.09.08,Pechanga Casino,1700,7.5056959780646,231,31.1666666666667,2,6,2,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0
"Morales, Ivan",2012.09.08,Pechanga Casino,10000,9.27765281999648,115,20.9166666666667,17,0,12,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0
"Maldonado, Luis",2012.09.08,Pechanga Casino,8500,9.1151338904987,114.75,34.5833333333333,36,9,27,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0
"Martinez, Cesar",2012.09.08,Pechanga Casino,1500,7.3805328351106,124,23.1666666666667,3,1,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0
"Porras, Jorge R.",2012.09.08,Pechanga Casino,1000,6.97506772700243,122.5,22.5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0
"Ramirez, Julian",2012.09.08,Pechanga Casino,3500,8.2278306954978,124.5,19.5,3,0,2,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0
"Mendoza, Noel",2012.09.08,Pechanga Casino,2000,7.66821490756238,123.5,27.0833333333333,6,1,1,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0
"DeMarco, Antonio",2012.09.08,Oracle Arena,180000,12.1680245778926,134.25,26.6666666666667,27,2,20,1,0,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0
"Molina, John Jnr.",2012.09.08,Oracle Arena,85000,11.4177189834928,134.5,29.7566210045657,24,1,19,1,0,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0
"Fonseca, Homero",2012.09.08,Oracle Arena,6000,8.76682719623049,253,25.5833333333333,9,5,2,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Ward, Andre",2012.09.08,Oracle Arena,1367500,14.1958072612986,168,28.5833333333333,25,0,13,2,0,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0
"Dawson, Chad",2012.09.08,Oracle Arena,600000,13.3719973822186,168,30.1666666666667,31,1,17,2,0,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0
"Hirsch, Tony",2012.09.08,Oracle Arena,3000,8.07368001567054,157,28.5833333333333,12,5,6,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Yong, Roberto",2012.09.08,Oracle Arena,1500,7.3805328351106,158.5,28.5833333333333,5,5,4,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Williams, Ricardo",2012.09.08,Oracle Arena,4000,8.36136208812233,143.5,31.25,19,3,10,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Lenk, Anthony M.",2012.09.08,Oracle Arena,2000,7.66821490756238,143.5,24.8196347031931,14,1,7,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Urbina, Juan",2012.09.08,Oracle Arena,800,6.75192417568822,119,20.6666666666667,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Felix, Jose Jnr.",2012.09.13,Hard Rock,4000,8.36136208812233,132,20.3333333333333,21,0,18,0,0,1,0,0,1,0,10,0,0,0,1,0,0,0,0,0
"Cruz, Luis A.",2012.09.13,Hard Rock,20000,9.97080000055643,132,26.9166666666667,20,1,16,0,0,1,0,0,1,0,10,0,0,0,1,0,0,0,0,0
"Gutierrez, Jesus A.",2012.09.13,Hard Rock,2000,7.66821490756238,136.5,23.7949771689466,5,0,2,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0
"Chavez, Joaquin R.",2012.09.13,Hard Rock,2500,7.89135845887659,136.5,24.8333333333333,1,2,1,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0
"Crawford, Terence",2012.09.13,Hard Rock,6500,8.84686990390403,136.5,25,17,0,13,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0
"Vargas, Jessie",2012.09.13,Hard Rock,35000,10.5304157884919,148,23.3333333333333,19,0,9,0,0,1,0,0,1,0,10,0,0,0,1,0,0,0,0,0
"Martinez, Aaron",2012.09.13,Hard Rock,12000,9.45997437679043,147,30.8333333333333,18,1,4,0,0,1,0,0,1,0,10,0,0,0,1,0,0,0,0,0
"Ruiz, Andy Jnr.",2012.09.13,Hard Rock,7000,8.92097787605775,254,23,15,0,9,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0
"Zewski, Mikael",2012.09.13,Hard Rock,8500,9.1151338904987,152,23.5833333333333,15,0,11,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0
"Frazier, Johnny D.",2012.09.14,Woodlake Hotel,1000,6.97506772700243,137,34.5833333333333,2,9,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Hernandez, Rodney",2012.09.14,Woodlake Hotel,1000,6.97506772700243,233.5,23.7593607305903,2,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Parker, Bomani",2012.09.14,Woodlake Hotel,1000,6.97506772700243,246.5,45,14,6,8,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Alvarez, Saul C.",2012.09.15,MGM Arena,2000000,14.5759701865445,154,22.1666666666667,40,0,29,1,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0
"Lopez, Josesito",2012.09.15,MGM Arena,212500,12.3340097153669,153,28.1666666666667,30,4,18,1,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0
"Thompson, Sergio",2012.09.15,MGM Arena,3000,8.07368001567054,131,28.9166666666667,23,2,21,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0
"Claudio, Carlos",2012.09.15,MGM Arena,9000,9.17229230433865,131,24.6666666666667,15,8,8,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0
"Ponce De Leon, Daniel",2012.09.15,MGM Arena,40000,10.6639471811164,125.5,32.1666666666667,43,4,35,1,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0
"Gonzalez, Jhonny",2012.09.15,MGM Arena,40000,10.6639471811164,125,31,52,7,45,1,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0
"Gomez, Eddie",2012.09.15,MGM Arena,5000,8.58450563943653,152,20.0833333333333,9,0,6,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0
"Valcarcel, Carlos",2012.09.15,MGM Arena,10000,9.27765281999648,123,30.9166666666667,12,5,5,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0
"Maidana, Marcos",2012.09.15,MGM Arena,250000,12.4965286448647,147,29.1666666666667,31,3,28,0,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0
"Soto Karass, Jesus",2012.09.15,MGM Arena,80000,11.3570943616763,147,29.9166666666667,26,7,17,0,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0
"Santa Cruz, Leo",2012.09.15,MGM Arena,85000,11.4177189834928,117,24.0833333333333,20,0,11,1,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0
"Morel, Eric Arturo",2012.09.15,MGM Arena,35000,10.5304157884919,118,36.9166666666667,46,3,23,1,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0
"Vargas, Francisco J.",2012.09.15,MGM Arena,5000,8.58450563943653,131,27.7648401826452,12,0,10,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0
"Sanchez, Victor",2012.09.15,MGM Arena,6000,8.76682719623049,127.5,20,3,3,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0
"Alcine, Joachim",2012.09.15,Thomas & Mack Center,61000,11.0859415911757,158,36.5,33,2,19,0,1,0,1,0,0,0,10,0,0,0,1,0,0,0,0,0
"Martinez, Roman",2012.09.15,Thomas & Mack Center,50000,10.8870907324306,129,29.6666666666667,25,1,16,1,1,0,1,0,1,0,12,0,0,0,1,0,0,0,0,0
"Chavez, Julio Cesar Jnr.",2012.09.15,Thomas & Mack Center,3000000,14.9814352946527,158,26.5833333333333,46,0,32,1,1,0,1,0,1,0,12,0,0,0,1,0,0,0,0,0
"Lee, Mike Gene",2012.09.15,Thomas & Mack Center,50000,10.8870907324306,174,25.25,10,0,5,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0
"Jackson, John A.",2012.09.15,Thomas & Mack Center,8500,9.1151338904987,152,23.6666666666667,13,0,12,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0
"Nelson, Willie",2012.09.15,Thomas & Mack Center,6500,8.84686990390403,153.25,25.4166666666667,18,1,11,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0
"Rigondeaux, Guillermo",2012.09.15,Thomas & Mack Center,150000,11.9857030210987,122,32,10,0,8,1,0,0,0,0,1,0,12,0,0,0,1,0,0,0,0,0
"Marroquin, Roberto",2012.09.15,Thomas & Mack Center,100000,11.5802379129905,122,23.0833333333333,22,1,15,1,0,0,0,0,1,0,12,0,0,0,1,0,0,0,0,0
"Winchester, James",2012.09.15,Thomas & Mack Center,5000,8.58450563943653,154.5,33.9166666666667,15,4,5,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Omotoso, Wale",2012.09.15,Thomas & Mack Center,10000,9.27765281999648,147.5,27.3333333333333,22,0,19,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0
"Albonica, Javier",2012.09.20,Florentine Gardens,1200,7.15738928379639,148,26.5,3,1,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Walton, Willie",2012.09.20,Florentine Gardens,1000,6.97506772700243,148.25,31.8333333333333,4,4,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Rose, Louis",2012.09.20,Florentine Gardens,1000,6.97506772700243,158.5,23.5833333333333,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Alexander, Michael L.",2012.09.20,Florentine Gardens,1200,7.15738928379639,159,33.5,2,5,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Clark, David",2012.09.20,Florentine Gardens,1200,7.15738928379639,121.5,27.9166666666667,4,2,4,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Nichol, Shawn",2012.09.20,Florentine Gardens,1200,7.15738928379639,119.75,24,6,10,5,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Niyazov, Dimash",2012.09.20,Florentine Gardens,1000,6.97506772700243,144.25,23.5833333333333,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Loeza, Alonso",2012.09.20,Florentine Gardens,1200,7.15738928379639,143.75,21.25,2,6,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Williams, Terrel",2012.09.20,Florentine Gardens,1000,6.97506772700243,145.25,28.5833333333333,6,0,5,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Hughes, Lawrence L.",2012.09.20,Florentine Gardens,1050,7.02385789117187,145.75,28.5,4,4,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Shabranskyy, Vyacheslav",2012.09.20,Florentine Gardens,1200,7.15738928379639,194.25,25.3333333333333,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Wohlman, Zachary",2012.09.20,Florentine Gardens,1600,7.44507135624817,148.5,24.3333333333333,4,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Vallejo, Jesus",2012.09.20,Florentine Gardens,1200,7.15738928379639,148.5,29.5,3,7,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Morales, Roman",2012.09.21,Chumash Casino,6000,8.76682719623049,122,21.0833333333333,12,0,6,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Arellano, Jonathan",2012.09.21,Chumash Casino,6000,8.76682719623049,122,25.1666666666667,13,0,3,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Hovhannisyan, Azat",2012.09.21,Chumash Casino,1000,6.97506772700243,122,24.0833333333333,3,1,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Chacon, Raymond",2012.09.21,Chumash Casino,1500,7.3805328351106,121,25.4166666666667,4,4,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Tapia, Roy",2012.09.21,Chumash Casino,1200,7.15738928379639,122,21,3,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Batres, Pablo",2012.09.21,Chumash Casino,1100,7.07037790680676,123.5,25.792237442919,3,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Lopez, Raul",2012.09.21,Chumash Casino,2500,7.89135845887659,126.5,22.0833333333333,7,1,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Romero, Jhonatan",2012.09.21,Chumash Casino,3000,8.07368001567054,122,25.7949771689466,21,0,12,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0
"Esquivias, Efrain",2012.09.21,Chumash Casino,8000,9.05450926868227,122,29.1666666666667,16,1,9,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0
"Marquez, Ernie",2012.09.21,Chumash Casino,4500,8.47914512377871,118.5,30.6666666666667,9,11,3,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Solis, Edwin",2012.09.21,Chumash Casino,2500,7.89135845887659,126,24.3333333333333,3,2,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Santana, Francisco",2012.09.21,Chumash Casino,2500,7.89135845887659,148,26.3333333333333,13,3,6,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Worthy, John",2012.09.21,Chumash Casino,3000,8.07368001567054,148,29.8333333333333,3,3,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Flores, Rigoberto",2012.09.21,Doubletree Hotel,2000,7.66821490756238,145.5,29.9166666666667,4,1,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Chavez, Joaquin R.",2012.09.21,Doubletree Hotel,3000,8.07368001567054,146.5,24.8333333333333,1,3,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Rios, Joseph",2012.09.21,Doubletree Hotel,4500,8.47914512377871,112,30.5833333333333,11,7,4,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0
"Torres, Javier",2012.09.21,Doubletree Hotel,1500,7.3805328351106,216.5,24.3333333333333,2,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Gibson, Avery B.",2012.09.21,Doubletree Hotel,1200,7.15738928379639,240.5,29.7621004566204,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Noriega, Michael",2012.09.21,Doubletree Hotel,1500,7.3805328351106,158.5,31.4166666666667,4,0,4,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
"Toledo, Pedro",2012.09.21,Doubletree Hotel,1000,6.97506772700243,129.5,25.6666666666667,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Murray, Derrick",2012.09.21,Doubletree Hotel,1000,6.97506772700243,129.5,24.25,4,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"Cancio, Andrew",2012.09.29,Fantasy Springs,10000,9.27765281999648,127.5,23.9166666666667,14,1,11,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0
"Gonzalez, Roger",2012.09.29,Fantasy Springs,10000,9.27765281999648,127.75,34.3333333333333,27,6,18,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0
"Sanchez, Hector M.",2012.09.29,Fantasy Springs,10000,9.27765281999648,146.5,26.0833333333333,19,2,9,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0
